"species",type,description,habitat,diet,contributor,credit_url,image
blob://,fauna,"these shifting critters are hard to spot. they live in the background processes of browser windows, waiting for discarded bits of data to be left behind to feed on. their origin is unknown, but they are an invasive species that has propagated itself across forgotten corners of browser codebases. despite this, they pose no threat and leave little trace, and require special hardware to view.",web browser,freed memory,aquasine,https://aquasine.net,https://storage.tally.so/private/blob.gif?id=MAQX7M&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6Ik1BUVg3TSIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.W4V9QsC35jFANspDrIRzz32iYWxBBi_REv0bjzmTghU&signature=f1f75e4d8cae7ac00e5323c82f7903a67ab4d4c6518b29b86f51365b0fc9a65e
circui,fauna,"have you ever woken up perplexed by a dream you can't quite recall? or perhaps you experienced an unsettling sense of familiarity with something you've never encountered before? you may have crossed paths with a circui (plural: circuie). 
these  enigmatic creatures wander through our mindscapes,often affecting our memory and psyche. once believed to be figments of collective hallucination, advancements in dream visualization technology have now allowed us to identify these hungry little culprits.",the collective unconscious,"thoughts, dreams, wishes, memories",evie,https://x.com/chronlk,https://storage.tally.so/private/ocspin.gif?id=Ldyeay&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IkxkeWVheSIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.TodoRk8fdmGE4O9NdtvUFrm0-bKq-fNrrqTFTjVBuN8&signature=77e90a2e88b77cb08dc97d3e6bae18eb81859f3442390629912c0a8c0a344606
eye deer,fauna,"They can walk on either two legs or four and are blessed with excellent sight that allows them to detect beings invisible to the naked eye. However, this also makes them extremely nervous and skittish creatures. It is said that if one trusts you enough, you will be granted endless inspiration.",deepest parts of forests,rare plants and berries,sunny,sunnysatori.tumblr.com,https://storage.tally.so/private/eyedeer.png?id=DVYyGb&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IkRWWXlHYiIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.PHIpo_PLrd1gRXkIKTcWg0y8g2SHzxKCL0xonVyhoII&signature=5ea4309e7b5451b6d16504683719b105f8e9593ab611f6f866ebd6278fe55efe
Gnipgnat,fauna,"A pulsating, chubby bug with overdeveloped, weeping eyes. They are often found following people who seek solitude in the wilderness to decompress. They feed on longstanding annoyances and frustrations but are responsible feeders who never eat it all. You'll always feel better after a walk, but it won't fix anything, either...",Secluded places.,Persisting grievances.,Meena Dhalgren,https://bsky.app/profile/missdhalgren.bsky.social,https://storage.tally.so/private/Nipgnat.png?id=jBqo0x&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6ImpCcW8weCIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyOTgzOH0.3-dNCKbZSB6ob77wo7k22fP08LNo4aWC_0bH3u36Sio&signature=c624a8a3978a07949045c966763f36eded5a696fc8b53cd9174df2b347a077b9
hander,fauna,they exist everywhere but like to spend time in forest areas for fun. you can only see them in you take a special medicine cus they only exist in the hander dimension.,forest area,dust particles,valendar,https://x.com/Valendar_,https://storage.tally.so/private/handdance.gif?id=VZ1y7j&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IlZaMXk3aiIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.uCL1Q4IPnzz1huDrTIWHcBZr6tko-5iMWh3A6OFB7nc&signature=cde1cba7d6f20affcf1c711d2bd072f38e1fb2eac77c3e1da3f3d700a36aaa60
Lampotato,flora,"Theses walking potatoes emit light out of the thin bulb on their back by breathing oxygen. They are often found among hidden grass and plants that lacks light where they can thrive in a symbiotic relationship with each others : the Lampotato bring them light powered by the oxygen they can produce because of its light.

They taste like dirt, even when cooked. The bulb stings a little on the tongue, like a tiny electric shock.","crops, forest, towns, anywhere plants can grow.","oxygen, minerals contained in dirt.",SeaweedMice,https://bsky.app/profile/melcasucre.bsky.social,https://storage.tally.so/private/IMG_8072.png?id=6dzZkN&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjZkelprTiIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMzMTkyMH0.O8Upp8Bnn2ll-SWUXrU9DH2er0B5mhN1j8nePYz0jIk&signature=703a5be266611b7100edc72dfbd08616ed097c84945aed0534a4d7823c47d78c
Laughing Head,flora,It fills the forest with the sounds of it joyous laughter. It covers anything that comes near with spores. It is sought after by collectors for its unique sound and appearance.,Deep dark forest.,Anything that happens to enter it's mouth.,Creepy,,https://storage.tally.so/private/laughing-head.png?id=7dz8VZ&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjdkejhWWiIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.PuR0V496N7ZoLCif2l28HZQPLwX5tg07EctPDp0PhKg&signature=c12191a65814a38e3cc961eeff8b547c7720ca02aabdcdfe56aa3033b00a2665
lonliest corona,fauna,"Usually super microscopic, all impossible to see, but this germ grew to the size of a grapefruit.It's just a simple cold, maybe a runny nose for a week, but due to its size, it can no longer infect anyone. No germ has ever gotten this big before, too big to see any of its friends anymore. No germ has also ever gotten this lonely before.",right now a kind library,bacteria and air floaters,morti∞,/apartment/morti∞,https://storage.tally.so/private/hellish-spin.gif?id=g5g0zJ&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6Imc1ZzB6SiIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.LHrw4zJ6dZP-I_jJ_IYwgPnm7f6-RvbUX4ygD59Co60&signature=f4e557bc06489575546336c232d3749c4208a81a9ceed57c87eadab19d006441
loosey,fauna,"They communicate with others of their species via telecommunication signals sent by the tiny cities on their backs. If u have a radio u can listen to their conversations

they have soft hearts and are good at hiding","shores, radio stations","music, piezoelectric crystals",mimill,https://mimill.neocities.org/,https://storage.tally.so/private/IMG_2023.gif?id=pL11gJ&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6InBMMTFnSiIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.MYXQCFEVz6VM-EfO9x-LRPYKoaEOCDN4MbgytPACxVI&signature=5387a20e1f9581f61a9939a9e6c485327f905fe7502f43d928f1a987160cc1b4
mete bunny,fauna,"their fur is always wet and resembles raw meat.
they smell like normal rabbits which attracts prey 
and those who find them cute. they roll over like
dogs in hope you’ll rub their tummy then chomp at 
your limbs. ","grass, forests, etc. love sweet smelling  flowers","carnivorous, usually smaller predators or  chunks from larger fauna",mala,https://ophanimkei.com/,https://storage.tally.so/private/IMG_5220.png?id=PA44Mx&accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IlBBNDRNeCIsImZvcm1JZCI6Im5wejZyYiIsImlhdCI6MTc0NDMyNTQ3M30.k5RIqbAuLjoD_Te2__pMybixqVPsZ19Zm-PzQx1gjLw&signature=547515c111f242f12610113533349f4700b7016002d4286628dc38a294e81270
